date|time|description|vendor|amount 
2024-08-20|14:35:20|Bought textbooks|University of Michigan|-210.80 
2024-09-10|10:10:10|Part-time Salary|Starbucks|700.00 
2024-10-22|18:20:40|Car Repair|AutoFix Center|-340.90 
2024-11-05|19:50:50|Sold Bicycle|Facebook Marketplace|180.00 
2024-12-24|08:30:30|Holiday Gift Shopping|Amazon|-215.67 
2025-01-10|13:13:13|New Year Bonus|Dunder Mifflin|500.00 
2025-02-14|20:00:00|Valentine's Dinner|Outback Steakhouse|-150.00 
2025-03-01|07:50:00|Monthly Subscription|Spotify|-9.99 
2025-03-25|12:12:12|Sold Artwork|Blue Art Gallery|350.00 
2025-04-08|11:13:35|Bought Latte|Starbucks|-9.00 
2025-04-20|18:26:45|Monthly subscription|Netflix|-15.00 
2025-04-28|15:16:35|Bought sandwich|Walmart|-10.00 
2025-05-01|21:28:02|Sold Xbox one|Gamestop|5.0
2025-05-01|21:28:39|Tax Refund|IRS|650.0
2025-05-01|21:29:08|Purachased Call of Duty|Playstation Store|-70.0
2025-05-01|22:29:36|Overtime pay|Target|450.0
2025-05-01|22:30:23|Black Coffee|Starbucks|-12.0
2025-05-02|07:16:21|Sold couch|Art Van|200.0
2025-05-02|07:18:20|Bought new Laptop|Facebook Marketplace|-30.0
2025-05-02|08:02:23|Part-time salary|Amazon|1400.0
